bw1,bw2,dl1,dl2,pl1,pl2,MPSNR
8.6,7.966,211,129,0,0,94.3723125
5.329,6.265,36,226,0,0,83.3296875
7.778,5.732,241,112,0,0,91.82946875
8.283,7.091,94,99,0,0,93.98828125
5.799,8.169,226,159,0,0,94.98053125
7.539,6.253,173,255,0,0,90.1576875
7.424,5.051,278,192,0,0,73.26584375
7.142,6.691,238,231,0,0,91.2431875
9.72,9.579,143,158,0,0,94.32859375
6.295,6.748,177,242,0,0,94.767875
9.618,5.682,271,227,0,0,91.4755
9.304,7.7,144,95,0,0,95.2951875
8.981,6.322,102,161,0,0,90.99034375
7.546,8.064,264,133,0,0,94.30815625
7.064,7.387,266,75,0,0,92.7686875
8.27,9.507,47,95,0,0,95.91725
7.155,6.248,222,190,0,0,94.8541875
8.347,8.166,103,263,0,0,94.57775
5.498,8.813,196,106,0,0,89.3636875
7.95,5.405,100,20,0,0,90.03303125
6.933,8.284,50,224,0,0,94.17996875
9.987,8.079,150,112,0,0,95.5865625
5.544,5.587,193,243,0,0,90.0464375
5.563,9.122,236,42,0,0,91.64121875
9.201,9.826,117,239,0,0,95.2561563
7.546,5.879,66,200,0,0,94.09871875
8.903,6.403,122,236,0,0,94.1756875
9.374,5.668,135,145,0,0,93.4000625
7.707,6.766,44,1,0,0,94.66828125
7.715,8.479,64,55,0,0,92.69525
5.818,7.733,74,262,0,0,95.6159375
9.633,5.306,124,260,0,0,78.72971875
7.693,8.273,243,27,0,0,94.52334375
7.95,5.584,227,271,0,0,91.392625
6.243,5.999,76,231,0,0,91.504375
5.641,8.451,133,198,0,0,94.405375
5.868,9.067,193,52,0.02,0.34,63.3935
8.387,5.542,72,262,0.08,0.08,74.92575
8.339,4.903,86,212,0.05,0.11,56.4068125
9.521,7.922,100,273,0.51,0.02,62.17971875
8.239,4.423,203,261,0.29,0.34,29.5245
7.826,4.743,256,164,0.82,0.32,23.375375
5.571,4.943,132,175,0.42,0.46,37.05025
6.499,5.18,292,266,0.77,0.16,38.17125
5.222,7.221,172,186,0.64,0.27,30.49703125
6.289,4.671,254,116,0.38,0.05,39.94896875
8.58,8.78,204,162,0.34,0.31,44.35625
7.082,7.595,123,279,0.94,0.3,38.0616875
8.514,7.697,19,114,0.58,0.24,44.35071875
4.625,6.624,42,248,0.89,0.48,19.68778125
8.214,9.344,204,296,0.86,0.06,42.75303125
